Column,reference,text,name,normalized,cluster_key_collision,cluster_levenshtein,cluster_levenshtein_radius2,cluster_levenshtein_block5
0,060:001, [a-na] m.LUGAL d.UTUx(ERIM) EN-ia, m.LUGAL, m.LUGAL, m.LUGAL, m.LUGAL, m.LUGAL, m.LUGAL
1,060:002, um-ma m.ÌR-d.a$-ra-tum, m.ÌR-d.a$-ra-tum, m.ÌR-d.aš-ra-tum, m.ÌR-d.aš-ra-tum, m.ÌR-d.aš-ra-tum, m.ÌR-aš-ra-ti, m.ÌR-aš-ra-ti
2,060:010, aq-bi a$-ta-ni a-na m.pa-ha-na-te, m.pa-ha-na-te, m.pa-ha-na-te, m.pa-ha-na-te, m.pa-ha-na-te, m.pa-ha-na-te, m.pa-ha-na-te
3,060:020, [m.pa]-ha-na-{te} L[Ú.MAßKÍM-ia], [m.pa]-ha-na-{te}, m.pa-ha-na-te, m.pa-ha-na-te, m.pa-ha-na-te, m.pa-ha-na-te, m.pa-ha-na-te
4,060:032, m.pa-ha-na-te LÚ.MAßKÍM-ia, m.pa-ha-na-te, m.pa-ha-na-te, m.pa-ha-na-te, m.pa-ha-na-te, m.pa-ha-na-te, m.pa-ha-na-te
5,061:001, [a-na m.LU]GAL d.UTU EN-ia, m.LU]GAL, m.LUGAL, m.LUGAL, m.LUGAL, m.LUGAL, m.LUGAL
6,061:002, [um-]ma m.ÌR-a-$i-ir-te ÌR[-ka4], m.ÌR-a-$i-ir-te, m.ÌR-a-ši-ir-te, m.ÌR-a-ši-ir-te, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
7,062:001, [a-na m.]pa-ha-n[a]-te [b]e-lí-{ia}[, m.]pa-ha-n[a]-te, m.pa-ha-na-te, m.pa-ha-na-te, m.pa-ha-na-te, m.pa-ha-na-te, m.pa-ha-na-te
8,062:002, [um-ma] m.Ì[R-a-$i-ir-te Ì[R-ka-ma], m.Ì[R-a-$i-ir-te, m.ÌR-a-ši-ir-te, m.ÌR-a-ši-ir-te, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta, m.ÌR-a-ši-ir-ta
9,062:026, m.$a-bi-DINGIR m.BI-$i-Ta-nu m.ma-a-ia, m.$a-bi-DINGIR, m.ša-bi-DINGIR, m.ša-bi-DINGIR, m.ša-bi-DINGIR, m.ša-bi-DINGIR, m.ša-bi-DINGIR
10,062:026, m.$a-bi-DINGIR m.BI-$i-Ta-nu m.ma-a-ia, m.BI-$i-Ta-nu, m.BI-ši-Ta-nu, m.BI-ši-Ta-nu, m.BI-ši-Ta-nu, m.BI-ši-Ta-nu, m.BI-ši-Ta-nu
11,062:026, m.$a-bi-DINGIR m.BI-$i-Ta-nu m.ma-a-ia, m.ma-a-ia, m.ma-a-ia, m.ma-a-ia, m.ma-a-ia, m.ma-a-ia, m.ma-a-ia
12,062:027, m.ar-za-wa a-nu-um-ma 4 LÚ.MEß, m.ar-za-wa, m.ar-za-wa, m.ar-za-wa, m.ar-za-wa, m.ar-za-wa, m.ar-za-wa
13,062:042, [ù m.i]a-ma-a-ia i-nu-ma i-$ap-pár, m.i]a-ma-a-ia, m.ia-ma-a-ia, m.ia-ma-a-ia, m.ia-ma-a-ia, m.ia-ma-a-ia, m.ia-ma-a-ia
14,062:045, [a?-na? a?-wa?]-te.MEß-$u m.DUMU-a-ma-a-ia, m.DUMU-a-ma-a-ia, m.DUMU-a-ma-a-ia, m.DUMU-a-ma-a-ia, m.DUMU-a-ma-a-ia, m.DUMU-a-ma-a-ia, m.DUMU-a-ma-a-ia
15,063:001, [a-n]a m.LUGAL-ri EN-ia, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri
16,063:003, um-ma m.ab-di-a$-ta-ti, m.ab-di-a$-ta-ti, m.ab-di-aš-ta-ti, m.ab-di-aš-ta-ti, m.ab-di-aš-ta-ti, m.ab-di-aš-ta-ti, m.ab-di-aš-ta-ti
17,063:004, ÌR m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri
18,063:005, a-na I GÌR.HÁ m.LUGAL-ri EN-ia, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri
19,063:006, 7 ù 7 ma-aq-ta-ti a-na GÌR.MEß m.LUG[AL] E[N]-[ia a]m-qú-ut, m.LUG[AL], m.LUGAL, m.LUGAL, m.LUGAL, m.LUGAL, m.LUGAL
20,063:008, [a-n]a m.a-$i ù i$-te-mu, m.a-$i, m.a-ši, m.a-ši, m.a-ši, m.a-ši, m.a-ši
21,063:009, [a-]wa-ti m.LUGAL-ri E[N-ia], m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri
22,063:011, [li-]i$-te-mi m.L[UGAL ]E[N]-[i]a, m.L[UGAL, m.LUGAL, m.LUGAL, m.LUGAL, m.LUGAL, m.LUGAL
23,063:016, m.L[U]GA[L-r]i, m.L[U]GA[L-r]i, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri
24,064:001, a-na m.LUGAL-ri EN-ia, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri
25,064:003, um-ma m.ÌR-d.INNIN ÌR LUGAL-ri, m.ÌR-d.INNIN, m.ÌR-d.INNIN, m.ÌR-d.INNIN, m.ÌR-d.INNIN, m.ÌR-d.INNIN, m.ÌR-d.INNIN
26,064:004, a-na m. GÌR.MEß LUGAL-ri EN-ia, m., m., m., m., m., m.
27,064:016, a-na m.ia-$i, m.ia-$i, m.ia-ši, m.ia-ši, m.ia-ši, m.ia-ši, m.ia-ši
28,065:003, u[m-ma] m.[a]d[-r]a-INNIN Ì[R-]ka, m.[a]d[-r]a-INNIN, m.ad-ra-INNIN, m.ad-ra-INNIN, m.ad-ra-INNIN, m.ad-ra-INNIN, m.ad-ra-INNIN
29,065:004, a-na m. GÌR.MEß EN-ia 7 ù 7 mi-la, m., m., m., m., m., m.
30,065:006, a-na m. GÌR.MEß.LUGAL-ri EN-ia, m., m., m., m., m., m.
31,066:001, [a-na m.LUGAL-r]i E[n-ia], m.LUGAL-r]i, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri
32,066:004, _ _ m.[h]a-ya _, m.[h]a-ya, m.ha-ya, m.ha-ya, m.ha-ya, m.ha-ya, m.ha-ya
33,066:006, [m.L]U[GAL-]r[i EN-i]a p[a]-n[i-$u a-na], [m.L]U[GAL-]r[i, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri, m.LUGAL-ri
34,068:001, [m.ri-]ib-ha-ad-d[a], [m.ri-]ib-ha-ad-d[a], m.ri-ib-ha-ad-da, m.ri-ib-ha-ad-da, m.ri-ib-ha-ad-da, m.ri-ib-ha-ad-da, m.ri-ib-ha-ad-da
35,068:022, a-nu-um-ma m.pa-ha-am[-n]a-ta, m.pa-ha-am[-n]a-ta, m.pa-ha-am-na-ta, m.pa-ha-am-na-ta, m.pa-ha-am-na-ta, m.pa-ha-am-na-ta, m.pa-ha-am-na-ta
36,069:001, [a-na m.[, m.[, m., m., m., m., m.
37,069:003, [um-ma m.ri-ib-d.IßKUR ], m.ri-ib-d.IßKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR, m.ri-ib-d.IŠKUR
